respartner,image,status,team,website,description,brag,twitter,facebook
digitalocean,digitalocean,Active,,https://digitalocean.com,"Scalable server space & 1:1 support for ventures",,digitalocean,https://facebook.com/digitalocean
amazon,aws,Active,,https://aws.amazon.com,"High-availability cloud computing platform & support",,amazon,
dropbox,dropbox,Active,,https://dropbox.com,"Cloud storage for designers, developers, & more",,dropbox,https://facebook.com/dropbox
