univpartner,image,status,team,website,description,brag,twitter,facebook
clarkschool,eng,Active,,http://eng.umd.edu,"Research & industry connections",,clarkschool,https://facebook.com/clarkschool
terrapinworks,tw,Active,,https://terrapinworks.umd.edu,"Protoyping & additive manufacturing resources",terrapinworks,https://facebook.com/terrapinworks
